date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Nov%202013%2010:19:00%20GMT	http://projecteuler.net/secure=698f4	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/secure=698f4.e.delayed	(from http://projecteuler.net/about)
10:19:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Nov%202013%2010:19:00%20GMT	http://projecteuler.net/secure=44943	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/secure=44943.f.delayed	(from http://projecteuler.net/register)
10:19:02	77183/77183	---M--	200	added ('OK')	image/png	etag:%224786560-12d7f-4cd6d859dc3f0%22	http://projecteuler.net/images/euler_portrait.png	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/images/euler_portrait.png	(from http://projecteuler.net/)
10:19:24	8281/8281	---MC-	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://projecteuler.net/captcha/image_show.php?ekey=5723511187b0	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/captcha/image_showf4cc.png	(from http://projecteuler.net/register)
10:19:24	404/404	---M--	200	added ('OK')	image/gif	etag:%22472acdf-194-4cd6d6772cdc4%22	http://projecteuler.net/captcha/audio_icon.gif	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/captcha/audio_icon.gif	(from http://projecteuler.net/register)
10:19:26	8603/8603	---MC-	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://projecteuler.net/captcha/image_show.php?ekey=5723511187b0&unique=	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/captcha/image_showcc30.png	(from http://projecteuler.net/register)
10:19:26	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Nov%202013%2010:19:25%20GMT	http://projecteuler.net/secure=2b73f	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/secure=2b73f.15.delayed	(from http://projecteuler.net/problems)
10:19:27	58810/58810	---M-Z	200	added ('OK')	application/javascript	etag:11cd36db117e4b10abe5d1f209ab3d70	http://cdn.mathjax.org/mathjax/latest/MathJax.js?config=TeX-AMS_HTML	C:/My%20Web%20Sites/http___projecteuler.net/cdn.mathjax.org/mathjax/latest/MathJax7b8b.js	(from http://projecteuler.net/problems)
10:19:40	318788/318788	---MC-	200	added ('OK')	audio/x-wav	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://projecteuler.net/captcha/image_play.php	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/captcha/image_play.wav	(from http://projecteuler.net/register)
10:19:42	21110/21110	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:19:27%20GMT	http://projecteuler.net/problems;page=4	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=4.html	(from http://projecteuler.net/problems)
10:19:50	19866/19866	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:19:26%20GMT	http://projecteuler.net/problems;page=2	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=2.html	(from http://projecteuler.net/problems)
10:20:30	21457/21457	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:05%20GMT	http://projecteuler.net/problems;page=6	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=6.html	(from http://projecteuler.net/problems)
10:20:30	20098/20098	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:19:39%20GMT	http://projecteuler.net/problems;page=5	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=5.html	(from http://projecteuler.net/problems)
10:20:30	22817/22817	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:05%20GMT	http://projecteuler.net/problems;page=7	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=7.html	(from http://projecteuler.net/problems)
10:20:32	22771/22771	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:06%20GMT	http://projecteuler.net/problems;page=8	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=8.html	(from http://projecteuler.net/problems)
10:20:39	4621/4621	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:36%20GMT	http://projecteuler.net/problem=1	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problem=1.html	(from http://projecteuler.net/problems)
10:20:46	4894/4894	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:42%20GMT	http://projecteuler.net/problem=2	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problem=2.html	(from http://projecteuler.net/problems)
10:20:50	21754/21754	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:31%20GMT	http://projecteuler.net/problems;page=9	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problems;page=9.html	(from http://projecteuler.net/problems)
10:20:55	4654/4654	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:50%20GMT	http://projecteuler.net/problem=3	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problem=3.html	(from http://projecteuler.net/problems)
10:21:06	4763/4763	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:20:59%20GMT	http://projecteuler.net/problem=4	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problem=4.html	(from http://projecteuler.net/problems)
10:21:20	4686/4686	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2010:21:11%20GMT	http://projecteuler.net/problem=5	C:/My%20Web%20Sites/http___projecteuler.net/projecteuler.net/problem=5.html	(from http://projecteuler.net/problems)
